dataset,base_lr,model_channels,epoch,ckpt_path,fid
LEAK_PROCESSED,2e-5,192,1100,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01100.pt,100.9686
LEAK_PROCESSED,2e-5,192,1200,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01200.pt,106.782
LEAK_PROCESSED,2e-5,192,1300,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01300.pt,107.4289
LEAK_PROCESSED,2e-5,192,1400,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01400.pt,101.3777
LEAK_PROCESSED,2e-5,192,1500,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-leak_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01500.pt,105.4799
TIGHT_PROCESSED,2e-5,192,100,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00100.pt,254.5823
TIGHT_PROCESSED,2e-5,192,200,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00200.pt,303.4327
TIGHT_PROCESSED,2e-5,192,300,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00300.pt,242.744
TIGHT_PROCESSED,2e-5,192,400,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00400.pt,228.5014
TIGHT_PROCESSED,2e-5,192,500,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00500.pt,213.8911
TIGHT_PROCESSED,2e-5,192,600,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00600.pt,201.9946
TIGHT_PROCESSED,2e-5,192,700,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00700.pt,233.0832
TIGHT_PROCESSED,2e-5,192,800,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00800.pt,184.1881
TIGHT_PROCESSED,2e-5,192,900,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_00900.pt,215.0711
TIGHT_PROCESSED,2e-5,192,1000,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01000.pt,148.0665
TIGHT_PROCESSED,2e-5,192,1100,/root/autodl-tmp/Img_Gen_Workdflow/experiments/ldm/phase2_epoch_search/20260509-tight_processed_lr2e-5_ch192_ep1500/checkpoints/epoch_01100.pt,166.3933
